entry_id,user_id,timestamp,journal_text,sentiment_score,emotion_scores,word_count,topic_category,time_of_day,keyword_flags,entry_frequency,mental_health_label
21690328-c015-45b5-bf61-4006ce82b534,23eb4e56-b0ce-436e-bad2-f07bfe9a2b6c,2025-03-08 15:54:38,Deep notice know boy about capital black kid quality official occur adult meet form break team speak.,-0.69,{'disgust': 0.36},17,loneliness,night,hopeless,6,severe distress
7a25a35e-9f58-44e2-bed0-abc37e2f9391,be5630e4-9ad0-45fa-ab50-632bc7f8fe97,2025-04-22 16:23:06,Prepare personal age grow recently make should hold answer identify home her stuff safe many work security before best skin argue address tough role try commercial.,0.2,{'anxiety': 0.32},26,personal growth,evening,anxious,1,mild distress
ea066ed0-9e94-477d-9b0b-3e4a4dfa05f5,5dde8270-397f-4635-bd97-22bf975dc377,2025-03-29 09:24:53,Hot somebody account provide time huge article pick office subject treat protect able general truth industry.,-0.04,"{'sadness': 0.07, 'fear': 0.71}",16,loneliness,afternoon,depressed,7,mild distress
2d91f591-a704-4e88-b094-ebdb9822c27d,3b891fc4-d644-48da-863c-22916202ec66,2025-02-26 15:23:12,Answer far ask member market ok these college soldier establish speech career bank sound wide our present parent eat at.,-0.68,{'joy': 0.08},20,finances,morning,depressed,5,stable
1f259ef9-b245-4b9d-ac2c-2320f51b0080,886105da-88dd-4702-948d-e5d6db0382cb,2025-05-25 22:56:12,Fast necessary article keep go audience bag course little health have management attention six animal wall son address foreign.,0.76,"{'anxiety': 0.0, 'surprise': 0.57, 'sadness': 0.95}",19,work,evening,hopeless,5,mild distress
21d851f4-d5b6-406e-bd71-834e2bdfac74,66fbc106-f6f0-44e1-a9b7-ccc308d4a0ec,2025-02-09 20:42:59,Training call word enter down guy bank wonder whom you total peace fear exist into director consumer commercial message country part write about.,0.33,"{'joy': 0.49, 'sadness': 0.92, 'anxiety': 0.65}",23,work,afternoon,depressed,7,stable
7cc5c778-b454-404e-9766-6ba6dde0bb59,05822c3e-7800-4a9c-bda8-ae62ac3f9d5e,2025-05-01 01:42:43,Fight civil hit old leader because style subject individual those executive develop group former kind baby house seek area party plant rate note.,0.92,"{'disgust': 0.55, 'surprise': 0.34, 'sadness': 0.78}",23,relationships,night,stressed,5,stable
22e005c9-5b8d-4999-bcbc-1b5dba6c24c7,7e7d2e13-8ef0-4ba2-aba9-53a3d1ecd18e,2025-02-06 06:51:27,Despite art collection attack movement process article well night investment perhaps mouth reach music myself start me everything professional idea account democratic drive way either itself.,-0.11,"{'fear': 0.29, 'joy': 0.18}",26,health,night,stressed,5,stable
b2c940db-9590-456f-9b18-87547d9d8d1d,a14c83ab-c84d-4361-a71c-f97cc1d19c37,2025-05-01 02:23:05,Notice develop either one may improve region heart per board cover risk cold.,0.2,{'anxiety': 0.33},13,loneliness,evening,stressed,4,mild distress
dfa67bdf-2fe8-4fed-b215-b07da61941ca,a46175d1-8e47-4037-aaea-692d038965a1,2025-07-13 21:59:10,Customer sing training concern necessary commercial usually.,-0.32,{'joy': 0.05},7,family,afternoon,depressed,5,severe distress
92421dbc-b918-41a1-a6f8-c3e9e5428304,bbd78bcc-2d37-4be7-aaea-dd53020d2f9d,2025-05-31 22:41:13,Discover outside everyone movement right society early administration population agree offer full listen smile evening.,0.18,"{'joy': 0.03, 'fear': 0.45, 'surprise': 0.21}",15,family,morning,stressed,1,stable
7b187dff-03b2-41fd-8f94-e8b55e30c610,9d3ac874-8c49-47c0-9979-18539b5c04ad,2025-06-01 16:20:09,Cut crime dream several fill culture strong.,0.77,{'anxiety': 0.6},7,relationships,morning,none,6,mild distress
